sample	file_name	type	day
C255-d14-WRC_R1	NS.2055.003.IDT_i7_92---IDT_i5_92.C255-d14-WRC_R1	rumen	14
C255-d14-WRC_R2	NS.2055.003.IDT_i7_92---IDT_i5_92.C255-d14-WRC_R2	rumen	14
C255-d21-WRC_R1	NS.2055.003.IDT_i7_21---IDT_i5_21.C255-d21-WRC_R1	rumen	21
C255-d21-WRC_R2	NS.2055.003.IDT_i7_21---IDT_i5_21.C255-d21-WRC_R2	rumen	21
C255-d28-WRC_R1	NS.2055.003.IDT_i7_46---IDT_i5_46.C255-d28-WRC_R1	rumen	28
C255-d28-WRC_R2	NS.2055.003.IDT_i7_46---IDT_i5_46.C255-d28-WRC_R2	rumen	28
C255-d2-WRC_R1	NS.2055.003.IDT_i7_219---IDT_i5_219.C255-d2-WRC_R1	rumen	2
C255-d2-WRC_R2	NS.2055.003.IDT_i7_219---IDT_i5_219.C255-d2-WRC_R2	rumen	2
C255-d7-WRC_R1	NS.2055.003.IDT_i7_34---IDT_i5_34.C255-d7-WRC_R1	rumen	7
C255-d7-WRC_R2	NS.2055.003.IDT_i7_34---IDT_i5_34.C255-d7-WRC_R2	rumen	7
C280-d14-WRC_R1	NS.2055.003.IDT_i7_79---IDT_i5_79.C280-d14-WRC_R1	rumen	14
C280-d14-WRC_R2	NS.2055.003.IDT_i7_79---IDT_i5_79.C280-d14-WRC_R2	rumen	14
C280-d21-WRC_R1	NS.2055.003.IDT_i7_195---IDT_i5_195.C280-d21-WRC_R1	rumen	21
C280-d21-WRC_R2	NS.2055.003.IDT_i7_195---IDT_i5_195.C280-d21-WRC_R2	rumen	21
C280-d28-WRC_R1	NS.2055.002.IDT_i7_16---IDT_i5_16.C280-d28-WRC_R1	rumen	28
C280-d28-WRC_R2	NS.2055.002.IDT_i7_16---IDT_i5_16.C280-d28-WRC_R2	rumen	28
C280-d2-WRC_R1	NS.2055.002.IDT_i7_52---IDT_i5_52.C280-d2-WRC_R1	rumen	2
C280-d2-WRC_R2	NS.2055.002.IDT_i7_52---IDT_i5_52.C280-d2-WRC_R2	rumen	2
C283-d14-WRC_R1	NS.2055.003.IDT_i7_32---IDT_i5_32.C283-d14-WRC_R1	rumen	14
C283-d14-WRC_R2	NS.2055.003.IDT_i7_32---IDT_i5_32.C283-d14-WRC_R2	rumen	14
C283-d21-WRC_R1	NS.2055.003.IDT_i7_242---IDT_i5_242.C283-d21-WRC_R1	rumen	21
C283-d21-WRC_R2	NS.2055.003.IDT_i7_242---IDT_i5_242.C283-d21-WRC_R2	rumen	21
C283-d28-WRC_R1	NS.2055.003.IDT_i7_56---IDT_i5_56.C283-d28-WRC_R1	rumen	28
C283-d28-WRC_R2	NS.2055.003.IDT_i7_56---IDT_i5_56.C283-d28-WRC_R2	rumen	28
C283-d2-WRC_R1	NS.2055.003.IDT_i7_29---IDT_i5_29.C283-d2-WRC_R1	rumen	2
