sample	file_name	type	day
C255-d14-M_R1	NS.2055.002.IDT_i7_50---IDT_i5_50.C255-d14-M_R1	milk	14
C255-d14-M_R2	NS.2055.002.IDT_i7_50---IDT_i5_50.C255-d14-M_R2	milk	14
C255-d14-WRC_R1	NS.2055.003.IDT_i7_92---IDT_i5_92.C255-d14-WRC_R1	rumen	14
C255-d14-WRC_R2	NS.2055.003.IDT_i7_92---IDT_i5_92.C255-d14-WRC_R2	rumen	14
C255-d21-M_R1	NS.2055.002.IDT_i7_151---IDT_i5_151.C255-d21-M_R1	milk	21
C255-d21-M_R2	NS.2055.002.IDT_i7_151---IDT_i5_151.C255-d21-M_R2	milk	21
C255-d21-WRC_R1	NS.2055.003.IDT_i7_21---IDT_i5_21.C255-d21-WRC_R1	rumen	21
C255-d21-WRC_R2	NS.2055.003.IDT_i7_21---IDT_i5_21.C255-d21-WRC_R2	rumen	21
C255-d28-M_R1	NS.2055.002.IDT_i7_86---IDT_i5_86.C255-d28-M_R1	milk	28
C255-d28-M_R2	NS.2055.002.IDT_i7_86---IDT_i5_86.C255-d28-M_R2	milk	28
C255-d28-WRC_R1	NS.2055.003.IDT_i7_46---IDT_i5_46.C255-d28-WRC_R1	rumen	28
C255-d28-WRC_R2	NS.2055.003.IDT_i7_46---IDT_i5_46.C255-d28-WRC_R2	rumen	28
C255-d2-M_R1	NS.2055.002.IDT_i7_113---IDT_i5_113.C255-d2-M_R1	milk	2
C255-d2-M_R2	NS.2055.002.IDT_i7_113---IDT_i5_113.C255-d2-M_R2	milk	2
C255-d2-WRC_R1	NS.2055.003.IDT_i7_219---IDT_i5_219.C255-d2-WRC_R1	rumen	2
C255-d2-WRC_R2	NS.2055.003.IDT_i7_219---IDT_i5_219.C255-d2-WRC_R2	rumen	2
C255-d7-M_R1	NS.2055.002.IDT_i7_103---IDT_i5_103.C255-d7-M_R1	milk	7
C255-d7-M_R2	NS.2055.002.IDT_i7_103---IDT_i5_103.C255-d7-M_R2	milk	7
C255-d7-WRC_R1	NS.2055.003.IDT_i7_34---IDT_i5_34.C255-d7-WRC_R1	rumen	7
C255-d7-WRC_R2	NS.2055.003.IDT_i7_34---IDT_i5_34.C255-d7-WRC_R2	rumen	7
